😂,1,feliz,0,0,0,0,40,0,30,0,30,0,0,0,0
❤️,1,feliz,0,0,0,0,0,0,0,0,100,0,0,0,0
😍,1,emocionado,0,0,0,0,50,0,0,0,50,0,0,0,0
♥️,1,feliz,0,0,0,0,0,0,0,0,100,0,0,0,0
😭,-1,deprimido,0,0,0,0,0,0,0,20,0,80,0,0,0
😊,1,feliz,0,0,0,0,20,0,0,0,80,0,0,0,0
😒,-1,decepcionado,0,0,0,0,0,0,0,70,0,0,0,30,0
💕,1,feliz,0,0,0,0,10,0,0,0,90,0,0,0,0
😘,1,feliz,0,0,0,0,10,0,0,0,90,0,0,0,0
😩,-1,estresado,0,20,0,10,0,0,20,10,0,40,0,0,0
👌,1,satisfecho,0,0,20,0,10,0,10,0,10,0,50,0,0
😔,-1,triste,0,0,0,0,0,0,0,10,0,90,0,0,0
😏,1,emocionado,10,0,0,0,90,0,0,0,0,0,0,0,0
😁,1,emocionado,0,0,10,0,80,0,10,0,0,0,0,0,0
😉,1,calmado,10,0,0,0,70,0,10,0,0,0,10,0,0
👍,1,satisfecho,0,0,0,0,0,0,0,0,0,10,90,0,0
😌,1,relajado,60,0,0,0,0,0,0,0,30,0,10,0,0
🙏,1,nervioso,0,20,0,60,20,0,0,0,0,0,0,0,0
🎶,0,feliz,0,0,10,0,0,0,10,0,80,0,0,0,0
😢,-1,triste,0,0,0,0,0,0,0,10,0,90,0,0,0
😅,1,emocionado,0,0,0,0,80,0,0,0,20,0,0,0,0
😎,1,exaltado,0,0,0,10,0,0,90,0,0,0,0,0,0
👀,0,emocionado,0,0,0,0,90,0,10,0,0,0,0,0,0
😳,0,nervioso,0,0,0,90,10,0,0,0,0,0,0,0,0
🙌,1,emocionado,0,0,10,10,80,0,0,0,0,0,0,0,0
💔,-1,triste,0,10,0,0,0,5,5,20,0,60,0,0,0
🙈,1,nervioso,0,0,0,50,30,0,20,0,0,0,0,0,0
✌️,0,relajado,50,0,10,0,10,0,10,0,10,0,10,0,0
💙,1,feliz,0,0,0,0,10,0,0,0,90,0,0,0,0
✨,1,feliz,0,0,20,0,20,0,30,0,30,0,0,0,0
💜,1,feliz,0,0,0,0,10,0,10,0,80,0,0,0,0
💯,1,satisfecho,0,0,0,0,0,0,0,0,0,0,100,0,0
😴,0,fatigado,0,0,0,0,0,0,0,0,0,0,0,10,90
💖,1,exaltado,0,0,0,0,0,0,50,0,50,0,0,0,0
😄,1,feliz,10,0,0,0,20,0,0,0,60,0,10,0,0
😑,-1,aburrido,0,0,0,0,0,0,0,0,0,0,0,50,50
😕,-1,decepcionado,0,20,0,0,0,20,10,30,0,20,0,0,0
😜,1,exaltado,30,0,0,0,30,0,0,0,30,0,10,0,0
😞,-1,triste,0,10,0,0,0,20,0,30,0,40,0,0,0
😋,1,emocionado,30,0,0,0,15,0,0,0,40,0,15,0,0
😪,-1,triste,0,0,0,0,0,0,0,20,0,50,0,0,30
😐,-1,decepcionado,0,30,0,0,0,0,0,30,0,0,0,0,40
👏,1,exaltado,0,0,0,0,50,0,0,0,50,0,0,0,0
🔥,0,exaltado,30,0,20,0,30,0,0,0,20,0,0,0,0
💗,1,emocionado,0,0,0,0,0,0,0,0,100,0,0,0,0
💘,1,emocionado,0,0,0,0,50,0,0,0,50,0,0,0,0
💁,1,exaltado,0,0,50,0,0,0,0,0,0,0,50,0,0
💞,1,emocionado,0,0,0,0,0,0,0,0,100,0,0,0,0
👉,0,satisfecho,0,0,100,0,0,0,0,0,0,0,0,0,0
📷,0,satisfecho,0,0,0,0,100,0,0,0,0,0,0,0,0
💋,1,feliz,0,0,0,0,50,0,0,0,50,0,0,0,0
🙊,1,nervioso,0,0,0,0,50,0,0,0,50,0,0,0,0
😱,-1,estresado,0,10,10,15,0,40,15,0,0,10,0,0,0
✋,0,alerta,0,20,40,0,0,0,20,0,0,0,10,0,10
😈,1,tenso,0,40,20,0,20,0,10,0,10,0,0,0,0
😡,-1,tenso,0,30,0,20,0,15,0,0,0,20,0,0,15
🎉,1,emocionado,20,0,0,0,30,0,15,0,25,0,10,0,0
😃,1,feliz,10,0,0,0,20,0,10,0,50,0,10,0,0
💀,-1,estresado,0,10,0,15,0,45,0,10,0,10,0,0,10
💛,1,emocionado,0,0,0,0,50,0,0,0,50,0,0,0,0
💪,1,satisfecho,0,0,0,0,50,0,0,0,50,0,0,0,0
😫,-1,triste,0,0,0,0,0,0,0,0,0,100,0,0,0
😝,1,exaltado,10,0,0,0,30,0,0,0,60,0,0,0,0
😆,1,exaltado,30,0,0,30,10,0,20,0,10,0,0,0,0
👊,1,satisfecho,50,0,0,0,50,0,0,0,0,0,0,0,0
😀,1,feliz,0,0,0,30,40,0,0,0,30,0,0,0,0
🌚,1,satisfecho,0,0,0,30,40,0,0,0,30,0,0,0,0
😤,-1,decepcionado,0,25,0,0,0,30,30,0,0,15,0,0,0
☀️,0,feliz,35,0,0,0,30,0,0,0,35,0,0,0,0
💓,1,feliz,0,0,0,0,0,0,0,0,100,0,0,0,0
💚,1,feliz,0,0,0,0,20,0,0,0,70,0,10,0,0
😓,-1,deprimido,0,10,0,10,0,0,0,0,0,60,0,10,10
😻,1,exaltado,0,0,10,0,25,0,55,0,10,0,0,0,0
✔️,1,satisfecho,10,0,0,0,10,0,0,0,10,0,70,0,0
😣,-1,estresado,0,10,0,20,0,30,10,10,0,10,0,0,10
👈,0,aburrido,20,0,0,0,0,5,5,10,0,0,20,40,0
😷,-1,fatigado,0,10,0,10,0,10,15,0,0,15,0,0,40
😇,1,feliz,20,0,0,0,10,0,0,0,60,0,10,0,0
😛,1,emocionado,10,0,0,0,50,0,0,0,30,10,0,0,0
😚,1,satisfecho,40,0,0,0,0,0,0,0,10,0,50,0,0
😥,-1,nervioso,0,10,10,40,0,10,10,10,0,10,0,0,0
👋,1,alerta,0,15,50,0,15,0,20,0,0,0,0,0,0
👑,0,satisfecho,10,0,0,0,15,0,0,0,15,0,60,0,0
😬,1,tenso,0,40,0,10,10,10,10,0,0,10,0,0,10
😖,-1,fatigado,0,0,0,15,0,15,0,10,0,20,0,0,40
😠,-1,decepcionado,0,15,0,0,0,15,15,40,0,5,0,0,10
🌟,1,alerta,10,0,40,0,10,0,0,0,20,0,20,0,0
🎵,0,relajado,50,0,0,0,20,0,0,0,20,0,10,0,0
😶,0,triste,0,20,0,10,0,10,10,0,0,40,0,0,10
👇,0,aburrido,10,0,0,0,0,0,0,15,0,0,15,50,10
🙋,1,relajado,40,10,30,0,10,0,10,0,0,0,0,0,0
👎,-1,triste,0,10,0,5,0,5,0,30,0,40,0,0,10
💃,1,feliz,10,0,0,0,20,0,0,0,60,0,10,0,0
🔴,0,tenso,0,30,30,30,0,10,0,0,0,0,0,0,0
🔫,0,estresado,0,40,50,10,0,0,0,0,0,0,0,0,0
💫,1,alerta,65,0,0,0,5,0,0,0,30,0,0,0,0
👅,0,feliz,20,0,0,0,30,0,25,0,15,10,0,0,0
💥,-1,fatigado,30,20,25,10,0,15,0,0,0,0,0,0,0
💭,0,alerta,35,0,0,0,20,0,10,0,20,,10,,5
✊,-1,exaltado,0,15,15,0,10,15,40,0,0,0,5,0,0
✈️,0,emocionado,15,10,5,5,15,10,0,0,30,0,10,0,0
💩,1,decepcionado,0,0,0,0,45,0,50,0,5,0,0,0,0
😰,-1,estresado,0,15,0,15,5,20,0,5,0,35,0,0,5
😹,1,feliz,10,0,0,0,25,0,30,0,35,0,0,0,0
🙅,-1,decepcionado,0,45,5,5,0,20,0,5,0,20,0,0,0
🌞,0,feliz,45,0,0,0,5,0,5,0,40,0,5,0,0
💦,0,sereno,55,0,0,0,5,0,5,0,25,0,10,0,0
💎,1,emocionado,45,0,0,0,5,0,5,0,10,0,35,0,0
🙆,0,emocionado,0,25,30,10,10,15,0,0,0,0,0,0,10
⚡️,0,estresado,0,30,35,0,0,0,35,0,0,0,0,0,0
⭐️,0,feliz,25,0,0,0,35,0,15,0,20,0,5,0,0
💤,0,relajado,60,0,0,0,0,0,0,0,5,0,0,0,35
🍕,0,exaltado,0,0,0,0,25,0,0,0,60,0,15,0,0
👻,0,emocionado,0,5,15,0,25,0,45,0,5,0,0,5,0
🍀,0,emocionado,35,0,0,0,10,0,15,0,25,0,15,0,0
⚽️,0,emocionado,0,0,15,0,25,0,40,0,10,0,5,0,5
🎤,0,nervioso,15,0,5,10,25,5,10,0,25,0,5,0,0
😟,-1,triste,0,10,5,0,0,30,0,0,0,55,0,0,0
😨,-1,estresado,0,10,15,5,0,30,0,0,0,25,0,0,15
🚶,0,deprimido,40,0,0,0,0,0,0,0,0,15,0,15,30
🔞,0,alerta,0,50,30,10,0,5,0,0,0,0,0,5,0
🎀,0,sereno,45,0,0,0,5,0,0,,30,0,20,0,0
😙,1,feliz,15,0,0,0,20,0,15,0,40,0,10,0,0
👽,-1,nervioso,10,0,0,5,35,10,30,0,5,0,5,0,0
💅,0,relajado,67,0,0,0,0,0,0,0,33,0,0,0,0
☝️,0,emocionado,0,0,9,0,76,0,0,0,15,0,0,0,0
🌙,0,calmado,60,0,0,0,0,0,0,0,40,0,0,0,0
🙇,1,calmado,70,0,0,0,0,0,0,0,30,0,0,0,0
☁️,0,calmado,75,0,0,0,0,0,0,0,25,0,0,0,0
🍻,1,emocionado,0,0,5,0,80,0,0,0,15,0,0,0,0
😧,-1,exaltado,0,0,13,22,14,0,41,0,10,0,0,0,0
💟,0,satisfecho,39,0,0,0,0,0,0,0,20,0,41,0,0
👯,1,feliz,0,0,0,26,64,0,0,0,10,0,0,0,0
